"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Oct 19 17:23:45 GMT 2023","Thu Oct 19 17:23:46 GMT 2023","817","","Verify Valet API - Bank of Canada","","","","Average Forex Conversion Rate - USD to CAD",""
"passed","Thu Oct 19 17:23:46 GMT 2023","Thu Oct 19 17:23:46 GMT 2023","233","","Verify Valet API - Bank of Canada","","","","Average Forex Conversion Rate - Bad Request - Incorrect query params",""
"passed","Thu Oct 19 17:23:46 GMT 2023","Thu Oct 19 17:23:46 GMT 2023","282","","Verify Valet API - Bank of Canada","","","","Average Forex Conversion Rate - Incorrect conversion code",""
"passed","Thu Oct 19 17:23:44 GMT 2023","Thu Oct 19 17:23:45 GMT 2023","335","","Verify Valet API - Bank of Canada","","","","Average Forex Conversion Rate - CAD to AUD",""
